Date;Period;BE;DE;FR;NL;RAM
06/08/2016;6;-0.05089;0.19511;0.08275;0.23607;978.8356
06/08/2016;6;-0.10966;-0.03544;-0.05523;0;241.5659
06/08/2016;6;-0.10783;-0.0437;-0.05321;0;241.9851
06/08/2016;6;0;-1;0;0;4400
06/08/2016;6;-0.0323;-0.07402;-0.18211;0;292.8749
06/08/2016;6;-0.10611;-0.03658;-0.04366;0;242.0968
06/08/2016;6;-0.11003;-0.04786;-0.0629;0;241.7924
06/08/2016;6;0.03422;-0.19692;-0.08272;-0.2697;1376.692
06/08/2016;6;-0.11638;-0.08052;-0.16083;0;292.6471
06/08/2016;6;0.00778;0.17926;0.09484;-0.07342;928.6482
06/08/2016;6;-0.07475;-0.06852;-0.17366;0;293.4954
06/08/2016;6;-0.05084;-0.06915;-0.17906;0;293.3541
06/08/2016;6;0.0041;0.07816;0.03597;-0.16363;721.9589
06/08/2016;6;-0.11782;-0.05787;-0.09474;0;242.0077
06/08/2016;6;0.02494;-0.04873;-0.06694;-0.02073;266.7821
06/08/2016;6;-0.10647;-0.03372;-0.04342;0;241.981
06/08/2016;6;-0.09048;-0.27379;-0.16686;-0.416;1345.5937
06/08/2016;6;0;0;1;0;3696
06/08/2016;6;0.00908;0.27249;0.17848;0.03003;1130.6781
06/08/2016;7;0.0041;0.07812;0.03606;-0.16488;785.3206
06/08/2016;7;-0.04487;-0.24624;-0.38619;-0.1528;933.3675
06/08/2016;7;-0.03079;-0.07709;-0.18101;0;292.9122
06/08/2016;7;0.02494;-0.04875;-0.06692;-0.02078;283.7907
06/08/2016;7;0.03422;-0.19688;-0.08316;-0.26963;1352.6878
06/08/2016;7;-0.11552;-0.08025;-0.16046;0;292.7271
06/08/2016;7;-0.11651;-0.05578;-0.0896;0;241.6042
06/08/2016;7;-0.10951;-0.04642;-0.06079;0;242.2177
06/08/2016;7;-0.0507;-0.06871;-0.17856;0;293.4855
06/08/2016;7;-0.10628;-0.03717;-0.04497;0;241.927
06/08/2016;7;0.00908;0.27249;0.17897;0.03086;1056.4242
06/08/2016;7;-0.09048;-0.27375;-0.16726;-0.41557;1330.4811
06/08/2016;7;-0.03957;-0.07123;-0.1805;0;292.7237
06/08/2016;7;-0.10654;-0.03459;-0.04455;0;241.7226
06/08/2016;7;0;0;1;0;3619
06/08/2016;7;0;-1;0;0;4400
06/08/2016;7;-0.0041;-0.07812;-0.03606;0.16488;963.6794
06/08/2016;7;-0.03064;-0.07401;-0.18185;0;292.8754
06/08/2016;7;0;0;0;-1;4250
06/08/2016;7;-0.10773;-0.0432;-0.05305;0;242.1385
06/08/2016;7;-0.07578;-0.06822;-0.17285;0;292.5803
06/08/2016;7;0.00777;0.17923;0.09511;-0.07324;954.5822
06/08/2016;7;-0.10926;-0.03628;-0.05473;0;242.3005
06/08/2016;8;-0.09041;-0.2728;-0.16693;-0.42107;1349.4223
06/08/2016;8;-0.05291;-0.06923;-0.18141;0;297.3528
06/08/2016;8;-0.11143;-0.03777;-0.0567;0;245.8583
06/08/2016;8;-0.02351;-0.07704;-0.18621;0;296.9797
06/08/2016;8;0.01331;-0.13259;0.09749;-0.09828;1288.4062
06/08/2016;8;0.00701;0.17378;0.09175;-0.05893;921.6333
06/08/2016;8;-0.02685;-0.08096;-0.18441;0;296.7465
06/08/2016;8;0.02494;-0.04901;-0.06689;-0.02016;306.5238
06/08/2016;8;0.03422;-0.19646;-0.08329;-0.27054;1324.0923
06/08/2016;8;-0.14229;-0.08619;-0.15617;0;296.8428
06/08/2016;8;-0.03617;-0.07277;-0.18438;0;297.2851
06/08/2016;8;-0.0859;-0.06892;-0.17381;0;297.3729
06/08/2016;8;-0.12329;-0.06653;-0.11211;0;246.4968
06/08/2016;8;0.00467;0.08135;0.03869;-0.16658;822.8056
06/08/2016;8;0;0;-1;0;3713
06/08/2016;8;-0.0449;-0.24656;-0.38672;-0.15019;897.4906
06/08/2016;8;0;1;0;0;6080
06/08/2016;8;-0.00467;-0.08135;-0.03869;0.16658;926.1944
06/08/2016;8;0;0;1;0;4287
06/08/2016;8;-0.10809;-0.03623;-0.04445;0;246.2132
06/08/2016;8;0.07191;-0.15664;-0.08385;-0.18091;1189.5531
06/08/2016;8;-0.11187;-0.04992;-0.06445;0;246.1693
06/08/2016;8;0.00915;0.27371;0.1792;0.02237;1068.3471
06/08/2016;8;-0.108;-0.03859;-0.04537;0;246.4908
06/08/2016;8;-0.10974;-0.04602;-0.05514;0;246.2852
06/08/2016;8;-0.10831;-0.03534;-0.04477;0;246.4923
06/08/2016;8;0;-1;0;0;4400
06/08/2016;9;-0.04759;-0.05737;-0.16329;0;265.8482
06/08/2016;9;0;1;0;0;5729
06/08/2016;9;-0.10547;-0.04467;-0.05296;0;236.6819
06/08/2016;9;0.22032;0.01866;-0.12169;0.11501;763.4985
06/08/2016;9;-0.10779;-0.03511;-0.04277;0;245.5436
06/08/2016;9;-0.1175;-0.03833;-0.05989;0;258.7166
06/08/2016;9;0.09094;-0.05496;0.17523;-0.02067;1281.4111
06/08/2016;9;-0.0984;-0.05777;-0.15135;0;265.6048
06/08/2016;9;0;-0.07795;-0.19154;0;297.7509
06/08/2016;9;-0.0733;0.00338;-0.03926;-0.24516;758.9884
06/08/2016;9;-0.15277;-0.09022;-0.15277;0;297.5595
06/08/2016;9;-1;0;0;0;4500
06/08/2016;9;-0.10782;-0.03794;-0.04432;0;245.6818
06/08/2016;9;-0.25078;0.01378;-0.08059;-0.23737;1072.2887
06/08/2016;9;0.00334;-0.05754;-0.13973;0;220.5599
06/08/2016;9;-0.00623;-0.07661;-0.16791;0;265.93
06/08/2016;9;-0.01766;-0.06317;-0.16875;0;266.1048
06/08/2016;9;0.21747;-0.01108;0.06166;-0.03532;1221.5446
06/08/2016;9;-0.06216;0.00175;-0.00942;0.04378;235.5027
06/08/2016;9;0;-1;0;0;4400
06/08/2016;9;-0.14988;0.01689;-0.06507;-0.21538;862.5006
06/08/2016;9;-0.13819;-0.07271;-0.13819;0;265.8418
06/08/2016;9;0;0;-1;0;3241
06/08/2016;9;0.16726;-0.01511;0.09068;-0.16339;1435.4261
06/08/2016;9;0.21401;-0.01666;0.09633;-0.09071;1374.0851
06/08/2016;9;0;0;1;0;4759
06/08/2016;9;0;-0.06024;-0.1417;0;220.7426
06/08/2016;9;-0.11225;-0.05128;-0.06637;0;245.7669
06/08/2016;9;-0.10806;-0.03414;-0.04321;0;245.8487
06/08/2016;9;0.07766;0.00371;-0.01412;0.03255;300.5263
