Date	Period	BE	DE	FR
2016-08-06	5	-1562.504	-4400	2228.991
2016-08-06	5	3630.072	823.3536	-2845.56
2016-08-06	5	3599.687	3739.954	-4027.148
2016-08-06	5	-214.908	-57.79244	-1557.25
2016-08-06	5	779.313	5315.189	-3987.754
2016-08-06	5	874.5918	5769.909	-4196.14
2016-08-06	5	3635.533	562.4609	-2738.602
2016-08-06	5	4383.84	2481.634	-3162.106
2016-08-06	5	-2014.924	7000	-3737.689
2016-08-06	5	-1606.558	7000	-3934.574
2016-08-06	5	-2482.442	4765.334	-159.6225
2016-08-06	5	-763.3745	6891.723	-4178.648
2016-08-06	5	-2134.274	7000	-3754.505
2016-08-06	5	-4487.349	2240.493	3675
2016-08-06	5	-3527.201	2323.456	3675
2016-08-06	5	3138.176	-4400	3675
2016-08-06	5	1822.018	-1387.304	3675
2016-08-06	5	4658.251	-4400	1280.806
2016-08-06	5	4874.982	-1780.725	-92.68612
2016-08-06	5	3387.177	-4400	3349.374
2016-08-06	5	2863.324	-4400	-493.9145
2016-08-06	5	4915.315	874.4595	-1662.358
2016-08-06	5	-3741.219	4499.9	95.84671
2016-08-06	5	-2463.75	-238.166	654.3293
2016-08-06	5	-2740.773	6684.844	-3326.052
2016-08-06	5	-2697.253	6671.783	-3404.139
2016-08-06	5	-749.2665	6883.012	-4179.951
2016-08-06	5	855.5393	5783.547	-4196.651
2016-08-06	5	-2449.275	-348.4781	704.6498
2016-08-06	5	-1190.758	-4400	1574.177
2016-08-06	5	-2669.896	6789.645	-3486.959
2016-08-06	5	-516.8278	-4400	666.8278
2016-08-06	6	3714.314	3432.409	-3662.15
2016-08-06	6	3740.116	976.3398	-2668.438
2016-08-06	6	4319.98	2461.955	-2995.528
2016-08-06	6	-301.1089	-363.0425	-1407.263
2016-08-06	6	-319.5214	-396.4776	-1389.895
2016-08-06	6	1085.969	5597.236	-4075.883
2016-08-06	6	-349.2784	-255.8735	-1438.756
2016-08-06	6	-348.6948	-79.84751	-1508.461
2016-08-06	6	590.3613	5970.569	-4111.655
2016-08-06	6	228.2206	-4400	218.1221
2016-08-06	6	2901.182	-4400	-239.8853
2016-08-06	6	3733.85	939.7269	-2652.445
2016-08-06	6	-2716.327	6193.868	-2954.991
2016-08-06	6	-2745.94	6202.872	-2901.971
2016-08-06	6	-2704.383	6252.593	-2993.035
2016-08-06	6	-2703.213	6265.823	-2998.759
2016-08-06	6	-2449.127	-409.5143	751.7399
2016-08-06	6	-2451.988	-408.8615	757.0012
2016-08-06	6	-2436.341	-384.1771	710.0946
2016-08-06	6	-2706.056	6101.96	-2916.409
2016-08-06	6	-3744.572	4061.143	455.1329
2016-08-06	6	-1579.904	-4400	2267.543
2016-08-06	6	-2284.793	-4400	3696
2016-08-06	6	-2452.431	-413.0775	761.3605
2016-08-06	6	-2289.383	-4388.674	3696
2016-08-06	6	-1244.622	-4400	1681.04
2016-08-06	6	4661.002	-4400	1499.37
2016-08-06	6	3647.413	-4400	3146.872
2016-08-06	6	-480.8866	-4400	731.2471
2016-08-06	6	3227.133	-4400	3696
2016-08-06	6	-3528.334	-794.7693	3696
2016-08-06	6	4833.711	-2316.773	407.7722
2016-08-06	6	-727.6861	6545.698	-3959.531
2016-08-06	6	-1969.861	6604.205	-3447.935
2016-08-06	6	-95.67834	6433.148	-4095.51
2016-08-06	6	-2676.687	3253.061	1925.661
2016-08-06	6	4880.923	767.7161	-1414.551
2016-08-06	6	1913.191	-1392.374	3696
2016-08-06	6	-3160.612	2127.329	3696
2016-08-06	6	-4419.342	2018.567	3696
2016-08-06	7	3746.629	3738.251	-3763.212
2016-08-06	7	4811.163	2023.071	-2584.234
2016-08-06	7	620.4942	6314.298	-4249.552
2016-08-06	7	347.4065	6498.785	-4243.003
2016-08-06	7	-2437.33	1934.069	3619
2016-08-06	7	-1425.698	4301.937	-95.23083
2016-08-06	7	1207.971	5865.971	-4201.419
2016-08-06	7	1286.332	-655.3315	3619
2016-08-06	7	3793.365	-713.4496	-1959.316
2016-08-06	7	4835.835	1962.899	-2548.734
2016-08-06	7	3220.562	-4400	-292.1237
2016-08-06	7	3790.682	-729.0621	-1952.51
2016-08-06	7	-321.7907	-392.7929	-1396.187
2016-08-06	7	195.4094	-4223.407	147.2494
2016-08-06	7	-313.2787	-379.4177	-1403.331
2016-08-06	7	401.6379	-4400	187.3784
2016-08-06	7	4978.185	-1666.617	-207.4725
2016-08-06	7	4752.813	-4400	1226.179
2016-08-06	7	5019.363	1035.056	-1804.42
2016-08-06	7	3433.46	-4400	3376.045
2016-08-06	7	-2731.191	5824.375	-2770.946
2016-08-06	7	-642.0358	-4080.505	678.6824
2016-08-06	7	-2667.458	5873.217	-2841.257
2016-08-06	7	-323.5795	-384.3028	-1399.146
2016-08-06	7	-1331.687	-4400	1774.36
2016-08-06	7	-2377.49	-685.0123	821.5079
2016-08-06	7	-2438.318	-447.4847	752.7331
2016-08-06	7	-2434.134	-469.286	760.8649
2016-08-06	7	-2817.109	5701.113	-2582.488
2016-08-06	7	-2476.304	-178.1433	634.4507
2016-08-06	7	-1050.125	-4400	1408.235
2016-08-06	7	-1555.777	-4400	2178.047
2016-08-06	7	-323.6921	95.53765	-1588.478
2016-08-06	7	-745.4628	6692.154	-4007.104
2016-08-06	7	-3452.193	-1016.26	3619
2016-08-06	7	-2292.123	-4333.241	3619
2016-08-06	7	-4353.976	1761.307	3619
2016-08-06	7	-3641.487	3876.733	272.6193
2016-08-06	7	-923.0105	6699.028	-3931.977
2016-08-06	7	3247.886	-4400	3619
2016-08-06	7	1868.057	-1237.057	3619
2016-08-06	7	-2265.353	-4400	3619
2016-08-06	8	2707.456	-4284.908	4287
2016-08-06	8	2826.891	-4400	4198.751
2016-08-06	8	5233.24	-282.4096	-1334.414
2016-08-06	8	5234.38	-206.3242	-1380.287
2016-08-06	8	2864.596	-4400	4149.693
2016-08-06	8	5043.608	1686.627	-2236.458
2016-08-06	8	1288.62	-1120.732	4287
2016-08-06	8	-328.543	-314.18	-1423.4
