Date;Period;BE;DE;FR;NL;RAM;Row;Num_date
01/11/2015;5;0.05466;-0.05386;-0.05001;-0.03723;305.42748;448;20151101
01/11/2015;5;0.05565;-0.04949;-0.06757;-0.02147;272.05918;477;20151101
01/11/2015;5;-0.05565;0.04949;0.06757;0.02147;538.94082;520;20151101
01/11/2015;5;0.01269;0.19055;0.08646;-0.10665;1307.18262;521;20151101
01/11/2015;6;-0.05381;-0.06677;-0.0571;0.2212;1210.04976;40;20151101
01/11/2015;6;0.01618;0.26931;0.16778;-0.02364;1384.91285;45;20151101
01/11/2015;6;0;0;0;-1;4250;116;20151101
01/11/2015;6;0.05466;-0.05386;-0.05002;-0.03748;295.44692;140;20151101
01/11/2015;6;0.02068;0.12071;0.05728;0.40698;1041.22335;186;20151101
01/11/2015;6;0.01269;0.19055;0.08647;-0.10958;1237.48118;207;20151101
01/11/2015;6;-0.05565;0.04949;0.06756;0.02181;554.90126;224;20151101
01/11/2015;6;0;0;1;0;5167;319;20151101
01/11/2015;6;0.09806;-0.19218;-0.06564;-0.26037;1129.5458;350;20151101
01/11/2015;6;0;-1;0;0;6000;360;20151101
01/11/2015;6;-1;0;0;0;4500;366;20151101
01/11/2015;6;0.14149;-0.17715;-0.08946;-0.21234;1012.1448;368;20151101
01/11/2015;6;0.1068;0.27322;0.17013;0.39048;672.64598;372;20151101
01/11/2015;6;-0.01618;-0.26931;-0.16778;0.02364;1501.08715;388;20151101
01/11/2015;6;-0.09118;0.23045;0.09088;0.28625;1280.68611;392;20151101
01/11/2015;6;0;0;-1;0;2833;415;20151101
01/11/2015;6;0.02453;-0.16314;0.07836;-0.1085;1045.77373;458;20151101
01/11/2015;6;-0.00174;0.02932;-0.03307;0.01924;258.36502;471;20151101
01/11/2015;6;0.05565;-0.04949;-0.06756;-0.02181;256.09874;480;20151101
01/11/2015;6;0.15019;-0.12891;-0.01774;-0.18188;994.95042;493;20151101
01/11/2015;6;0.00692;0.07574;0.03284;-0.09946;719.65202;498;20151101
