Date,Period,BE,DE,FR
2015-11-25,2,-3485.163,4828.546,-107.8802
2015-11-25,2,-2393.764,6636.128,-2979.218
2015-11-25,2,-3118.444,3562.765,1603.349
2015-11-25,2,2522.963,-1536.9,3263.938
2015-11-25,2,1102.013,-1220.925,4368.911
2015-11-25,2,3983.924,-510.9348,777.0106
2015-11-25,2,3897.934,497.3212,-145.2549
2015-11-25,2,592.7102,876.1463,-3668.274
2015-11-25,2,508.077,7000,-6104.66
2015-11-25,2,603.3287,785.168,-3628.245
2015-11-25,2,1112.95,-3244.65,-1839.107
2015-11-25,2,1829.479,-4076.363,-1219.521
2015-11-25,2,3321.203,3507.419,-3583.016
2015-11-25,2,739.2948,7000,-6009.984
2015-11-25,2,1268.592,-3545.149,-1657.523
2015-11-25,2,-2677.851,-4400,3866.949
2015-11-25,2,-114.6749,4548.732,-4937.522
2015-11-25,2,-426.873,6562.153,-5655.459
2015-11-25,2,-63.63085,7000,-5937.581
2015-11-25,2,-2431.549,-772.4,1057.098
2015-11-25,2,-2432.49,-763.4736,1053.337
2015-11-25,2,-2448.282,-682.1507,1033.79
2015-11-25,2,-3147.698,-4400,4824.641
2015-11-25,2,-2440.37,-714.6355,1038.329
2015-11-25,2,-1202.177,-4400,5301
2015-11-25,2,-158.187,-1146.289,5301
2015-11-25,2,3549.217,-1900.64,2434.325
2015-11-25,2,3990.195,-2217.792,2040.383
2015-11-25,2,3254.878,-4400,2065.882
2015-11-25,2,-3368.318,-4400,5301
2015-11-25,2,-3707.409,-3206.467,5301
2015-11-25,2,-2498.113,325.108,5301
2015-11-25,2,4020.028,-1542.869,1609.927
2015-11-25,2,-1069.941,7000,-5061.533
2015-11-25,2,-1488.736,7000,-4515.409
2015-11-25,2,1889.048,-4400,-855.1217
2015-11-25,2,-2001.958,7000,-3771.64
2015-11-25,2,-2234.035,6806.139,-3330.407
2015-11-25,2,1099.5,-4400,-582.1388
2015-11-25,3,181.4344,-3413.562,-878.8398
2015-11-25,3,705.7447,-4130.746,-584.3395
2015-11-25,3,651.7614,-4400,-244.8412
2015-11-25,3,-785.2236,-4400,1066.723
2015-11-25,3,-273.5935,-3851.733,8.775183
2015-11-25,3,-415.9212,-635.0788,5301
2015-11-25,3,2417.517,-1262.627,3095.11
2015-11-25,3,-1632.565,-4400,5301
2015-11-25,3,2787.976,-1394.765,2794.94
2015-11-25,3,4186.542,-2395.906,1543.805
2015-11-25,3,3511.555,-4400,1563.682
2015-11-25,3,-3007.436,6353.427,-2203.34
2015-11-25,3,-2247.351,5549.601,-2921.713
2015-11-25,3,-3235.726,6004.602,-1644.337
2015-11-25,3,-2461.346,-333.2817,833.1266
2015-11-25,3,-527.4612,-523.5388,5301
2015-11-25,3,4075.879,2293.775,-2119.654
2015-11-25,3,4269.646,34.67291,-54.31939
2015-11-25,3,-1986.538,395.5121,5301
2015-11-25,3,-1803.464,6843.103,-3217.805
2015-11-25,3,365.2685,6927.869,-5101
2015-11-25,3,-2593.939,3561.917,1687.547
2015-11-25,3,3772.464,3875.496,-3924.69
2015-11-25,3,2522.212,5569.243,-5101
2015-11-25,3,-3555.46,-4199.52,5301
2015-11-25,3,-3489.443,-4400,5301
2015-11-25,3,-147.5419,3830.722,-4871.158
2015-11-25,3,101.7452,3649.428,-5101
2015-11-25,3,-183.992,3859.796,-4837.372
2015-11-25,3,409.8274,2234.232,-4659.676
2015-11-25,3,162.372,3513.547,-5101
2015-11-25,3,-2431.336,-749.316,1035.053
2015-11-25,3,-2428.761,-856.7316,1096.951
2015-11-25,3,-162.5331,3823.742,-4846.447
2015-11-25,3,546.7216,1114.773,-4164.798
2015-11-25,3,-1829.928,-1374.047,594.6511
2015-11-25,3,394.6495,3344.339,-5101
2015-11-25,3,-2591.216,-3059.043,2772.305
2015-11-25,3,-2677.495,-4400,3777.414
2015-11-25,3,-2762.483,-4400,3928.956
2015-11-25,3,-2436.516,-1144.316,1290.321
2015-11-25,3,-1809,-4400,2487.052
2015-11-25,3,4279.813,-262.0055,184.2131
2015-11-25,3,745.9267,-455.4198,-3467.717
2015-11-25,3,2076.629,-3596.886,-1691.003
2015-11-25,3,-3281.323,5913.089,-1501.402
2015-11-25,3,2388.126,-4400,-840.4506
2015-11-25,3,2273.261,-3781.903,-1537.892
2015-11-25,4,81.72829,1702.587,-4002.426
2015-11-25,4,-653.3868,-2751.552,-169.3719
2015-11-25,4,-889.31,2393.395,-3093.587
2015-11-25,4,-2387.725,-963.6216,1103.739
2015-11-25,4,-2400.226,-730.5443,973.7776
2015-11-25,4,-2410.455,-789.7179,1025.342
2015-11-25,4,330.6416,-4400,618.7596
2015-11-25,4,1326.816,-4400,118.7595
2015-11-25,4,-1941.511,-4400,2706.944
2015-11-25,4,-2978.823,-4400,4294.588
2015-11-25,4,-2776.663,-4400,3955.907
2015-11-25,4,2444.722,-4400,-265.9715
2015-11-25,4,-2737.801,-4400,5301
2015-11-25,4,-3562.059,-4400,5301
2015-11-25,4,3077.084,-4400,1070.73
2015-11-25,4,-2548.353,-4400,3600.942
2015-11-25,4,-1183.236,155.6866,5277.55
2015-11-25,4,775.4953,-273.7035,3748.208
2015-11-25,4,3867.063,3262.881,-2879.944
2015-11-25,4,3976.92,1979.41,-1706.33
2015-11-25,4,1055.298,2111.418,-4809.038
2015-11-25,4,2317.755,-880.0035,-3116.195
2015-11-25,4,-684.2549,-2960.586,8.691844
2015-11-25,4,2370.529,-3999.944,-716.2339
2015-11-25,4,1523.257,3316.182,-5101
2015-11-25,4,3503.106,5167.598,-5046.35
2015-11-25,4,3444.928,5246.666,-5101
2015-11-25,4,-1829.557,-4249.746,2443.01
2015-11-25,4,-2440.686,6001.878,-1403.718
2015-11-25,4,-2527.259,4535.365,711.5832
2015-11-25,4,-1520.107,6140.225,-2190
2015-11-25,4,-2638.264,-2424.256,2448.552
2015-11-25,4,4028.187,-1632.798,1051.514
2015-11-25,4,3331.381,-1150.594,1675.657
2015-11-25,4,4072.153,-585.9549,376.6138
2015-11-25,4,-1214.841,157.5717,5301
2015-11-25,4,-3706.182,-4009.533,5301
2015-11-25,4,-2071.948,700.1979,5301
2015-11-25,4,-3207.932,5698.32,-766.2782
2015-11-25,4,-2681.809,3891.823,1670.877
2015-11-25,4,-3216.771,4375.73,-884.1994
2015-11-25,4,-3487.317,4692.594,-619.1707
2015-11-25,4,-2192.918,3418.805,-1864.173
2015-11-25,4,1845.123,6259.486,-5101
2015-11-25,4,-2470.7,-751.2009,1093.817
2015-11-25,4,-2365.653,-1353.572,1324.458
2015-11-25,5,-3946.603,-4268.855,5248.611
2015-11-25,5,-3789.974,-4400,5102.441
2015-11-25,5,3772.959,-1120.25,392.038
2015-11-25,5,2643.213,-4400,414.3288
2015-11-25,5,-2088.198,1126.254,5211.944
2015-11-25,5,-1328.932,960.7218,4618.21
2015-11-25,5,2776.013,-433.5917,1286.251
2015-11-25,5,1474.499,6929.976,-4919.927
2015-11-25,5,401.6175,5657.923,-2394.954
2015-11-25,5,-707.6184,6635.152,-3054.984
2015-11-25,5,3583.455,5633.801,-4967.256
2015-11-25,5,3560.976,5751.297,-5101
2015-11-25,5,-1611.888,2431.049,3430.84
2015-11-25,5,1683.952,6937.458,-5101
2015-11-25,5,-3729.06,4396.226,-654.2241
2015-11-25,5,-2759.262,-4400,3584.554
2015-11-25,5,-1250.486,-2445.906,103.7182
2015-11-25,5,-653.9084,1895.165,-3571.567
2015-11-25,5,3680.8,4493.971,-3924.771
2015-11-25,5,3835.753,375.0413,-573.2544
2015-11-25,5,2549.474,-4400,216.3689
2015-11-25,5,2339.155,-3261.996,-1063.359
2015-11-25,5,2251.981,1986.349,-5101
2015-11-25,5,-2158.375,1947.977,4460.398
2015-11-25,5,-3207.83,6259.944,-921.8907
2015-11-25,5,-83.37615,-4400,1124.199
2015-11-25,5,-36.82286,-4171.116,836.1729
2015-11-25,5,1196.265,2667.738,-5101
2015-11-25,6,-3985.437,-3975.478,5301
2015-11-25,6,-2278.834,1127.791,5301
2015-11-25,6,-3806.154,-4400,5301
2015-11-25,6,-2854.444,-4400,5301
2015-11-25,6,-1351.4,300.3998,5301
2015-11-25,6,-2094.098,1043.098,5301
2015-11-25,6,3137.114,6114.056,-5258.702
2015-11-25,6,1565.319,4387.903,-1753.639
2015-11-25,6,3308.346,6112.967,-5400
2015-11-25,6,3445.475,5355.703,-4551.178
2015-11-25,6,3298.812,6119.214,-5400
2015-11-25,6,1336.915,4062.305,-1149.22
2015-11-25,6,-3801.015,2940.168,673.2785
2015-11-25,6,-3243.875,5142.573,283.246
